process_id,volume,automation_rate,avg_handling_time,error_rate,customer_satisfaction,cost_per_case,recommended_action,predicted_action
13,455,0.19,43.4,0.206,3.39,14.44,improve_quality,improve_quality
1,2038,0.22,13.0,0.13,4.57,19.74,no_action,no_action
7,2144,0.32,30.5,0.093,4.27,18.0,increase_automation,no_action
9,209,0.33,44.1,0.031,2.94,5.13,no_action,no_action
1,3071,0.72,18.1,0.184,3.77,24.34,no_action,no_action
12,997,0.31,2.8,0.059,4.19,11.77,no_action,no_action
8,1215,0.64,12.5,0.093,3.09,4.82,no_action,no_action
11,2024,0.52,37.7,0.016,4.58,5.32,no_action,no_action
19,4669,0.59,39.2,0.2,3.86,3.36,no_action,no_action
17,3336,0.81,35.0,0.192,2.91,20.28,improve_quality,improve_quality
8,2393,0.44,6.9,0.183,3.96,3.93,no_action,no_action
3,423,0.76,36.2,0.075,5.0,4.0,no_action,no_action
3,4358,0.46,41.5,0.043,2.88,21.41,no_action,no_action
1,4125,0.4,27.8,0.159,4.54,9.27,no_action,no_action
5,4984,0.91,42.5,0.124,3.02,1.74,no_action,no_action
10,4200,0.26,37.6,0.045,4.46,2.25,increase_automation,increase_automation
7,1833,0.18,30.7,0.171,4.34,4.41,no_action,no_action
9,2352,0.76,26.8,0.248,3.25,6.12,improve_quality,improve_quality
7,710,0.16,17.0,0.187,3.31,16.96,improve_quality,improve_quality
9,584,0.81,8.8,0.185,4.48,4.78,no_action,no_action
8,604,0.47,28.0,0.238,3.65,3.85,no_action,no_action
12,4813,0.88,15.7,0.051,4.33,19.35,no_action,no_action
2,4771,0.71,39.3,0.141,2.87,17.11,no_action,no_action
1,2200,0.62,44.7,0.245,4.63,11.45,no_action,no_action
16,2956,0.91,34.4,0.041,4.28,14.18,no_action,no_action
5,1868,0.44,5.9,0.175,4.77,8.49,no_action,no_action
3,1660,0.91,14.4,0.146,2.83,12.58,no_action,no_action
12,3836,0.21,6.7,0.147,3.98,13.16,no_action,no_action
8,2924,0.51,30.0,0.174,4.0,10.29,no_action,no_action
3,4378,0.33,34.9,0.232,3.38,22.76,increase_automation,increase_automation
1,2248,0.56,41.8,0.196,3.65,1.39,no_action,no_action
3,4346,0.24,20.8,0.014,2.59,19.77,increase_automation,increase_automation
5,4980,0.82,40.8,0.213,4.36,3.99,no_action,no_action
15,916,0.82,39.7,0.056,3.87,20.14,no_action,no_action
14,4744,0.91,15.6,0.094,2.64,15.78,no_action,no_action
3,4783,0.23,39.4,0.115,4.2,21.24,increase_automation,increase_automation
1,2023,0.63,18.2,0.12,3.67,3.34,no_action,no_action
5,2281,0.5,14.8,0.109,2.59,14.42,no_action,no_action
14,3619,0.39,29.9,0.234,4.92,13.03,increase_automation,increase_automation
7,1774,0.4,16.1,0.177,4.87,17.95,no_action,no_action
9,449,0.45,29.1,0.158,3.78,13.82,no_action,no_action
15,873,0.7,28.2,0.012,2.73,13.98,no_action,no_action
15,4733,0.61,26.2,0.226,4.39,11.31,no_action,no_action
10,2365,0.49,18.4,0.227,3.73,8.41,no_action,no_action
13,970,0.16,25.6,0.195,3.26,12.57,improve_quality,improve_quality
19,4162,0.17,27.6,0.002,3.73,3.84,increase_automation,increase_automation
7,4563,0.1,25.5,0.014,3.81,24.08,increase_automation,increase_automation
17,2184,0.92,21.1,0.056,3.91,18.15,no_action,no_action
4,1277,0.1,2.6,0.033,3.6,23.86,no_action,no_action
5,435,0.19,27.2,0.1,4.01,6.44,no_action,no_action
7,588,0.37,9.2,0.231,4.8,22.1,no_action,no_action
13,3237,0.79,29.6,0.118,3.41,20.41,no_action,no_action
15,2048,0.92,34.7,0.003,4.31,17.25,no_action,no_action
11,4919,0.77,23.5,0.071,4.74,16.0,no_action,no_action
4,3014,0.69,25.3,0.011,3.64,8.6,no_action,no_action
13,3574,0.54,42.9,0.009,3.61,20.59,no_action,no_action
7,3478,0.17,38.4,0.069,4.01,13.04,increase_automation,increase_automation
19,1452,0.91,41.3,0.069,3.98,2.7,no_action,no_action
2,4181,0.74,37.0,0.197,4.52,8.51,no_action,no_action
10,4873,0.64,6.7,0.244,3.69,23.45,no_action,no_action
13,2322,0.75,8.4,0.093,4.99,21.42,no_action,no_action
6,4730,0.72,24.6,0.107,2.65,24.57,no_action,no_action
12,2350,0.64,12.6,0.211,2.51,16.07,improve_quality,improve_quality
12,1529,0.93,22.5,0.067,4.1,6.94,no_action,no_action
11,1558,0.87,19.0,0.039,3.25,4.91,no_action,no_action
7,2682,0.65,25.6,0.213,3.1,5.49,improve_quality,improve_quality
1,4742,0.69,34.1,0.012,3.28,1.48,no_action,no_action
1,2217,0.14,32.8,0.155,3.14,10.38,increase_automation,increase_automation
13,1531,0.67,24.4,0.14,2.58,5.59,no_action,no_action
9,4544,0.14,37.4,0.086,4.93,10.88,increase_automation,increase_automation
3,4461,0.6,20.5,0.079,3.05,23.44,no_action,no_action
7,1558,0.95,40.6,0.193,4.34,11.33,no_action,no_action
6,4837,0.57,5.1,0.022,4.41,22.07,no_action,no_action
8,3377,0.5,43.1,0.059,4.82,15.53,no_action,no_action
9,2328,0.37,30.2,0.183,2.58,6.93,increase_automation,increase_automation
5,2380,0.2,18.3,0.137,4.68,9.54,no_action,no_action
1,337,0.72,10.5,0.032,3.82,3.01,no_action,no_action
19,3672,0.26,22.6,0.221,4.08,9.0,increase_automation,increase_automation
10,3032,0.2,10.4,0.098,4.11,17.26,no_action,no_action
12,3779,0.46,9.2,0.207,4.55,2.73,no_action,no_action
15,3231,0.78,28.5,0.197,3.33,5.93,improve_quality,improve_quality
9,4364,0.73,24.5,0.156,4.33,10.15,no_action,no_action
17,2793,0.15,30.8,0.124,3.82,24.57,increase_automation,increase_automation
17,4500,0.49,42.0,0.245,4.48,19.84,no_action,no_action
12,4018,0.54,24.9,0.036,4.98,18.6,no_action,no_action
7,4338,0.65,27.0,0.181,3.0,3.79,improve_quality,improve_quality
2,4023,0.65,5.9,0.048,4.99,19.74,no_action,no_action
3,4242,0.41,32.9,0.085,2.72,19.85,no_action,no_action
17,2106,0.58,19.2,0.077,2.51,15.43,no_action,no_action
5,960,0.51,44.0,0.237,2.61,24.77,improve_quality,improve_quality
17,3645,0.85,37.4,0.242,3.35,8.81,improve_quality,improve_quality
17,1099,0.55,24.5,0.046,4.08,23.59,no_action,no_action
17,4655,0.47,7.3,0.006,2.67,22.95,no_action,no_action
2,3147,0.44,39.0,0.18,2.51,1.28,improve_quality,improve_quality
2,1919,0.59,36.4,0.104,4.84,11.8,no_action,no_action
5,480,0.78,9.9,0.022,4.55,24.45,no_action,no_action
1,3466,0.56,14.7,0.171,4.52,3.47,no_action,no_action
1,2087,0.66,36.1,0.136,4.71,14.15,no_action,no_action
19,3466,0.73,10.0,0.245,4.25,24.49,no_action,no_action
2,866,0.54,41.5,0.057,2.76,14.33,no_action,no_action
12,4388,0.46,20.3,0.101,3.5,5.56,no_action,no_action
6,871,0.85,5.7,0.136,4.31,14.97,no_action,no_action
4,2169,0.45,37.1,0.198,3.2,5.91,improve_quality,improve_quality
11,4356,0.49,18.1,0.137,4.22,13.47,no_action,no_action
17,3322,0.94,24.6,0.153,2.56,2.78,improve_quality,improve_quality
6,4899,0.1,6.8,0.057,3.27,15.53,no_action,no_action
5,4977,0.26,2.1,0.212,3.87,13.4,no_action,no_action
2,4100,0.43,29.4,0.107,4.08,18.76,no_action,no_action
6,723,0.89,24.2,0.035,3.94,16.14,no_action,no_action
11,2593,0.16,27.5,0.166,4.24,14.19,increase_automation,increase_automation
16,3317,0.11,36.1,0.054,2.52,17.55,increase_automation,increase_automation
16,2793,0.14,29.8,0.024,2.75,4.45,increase_automation,increase_automation
1,2168,0.18,9.5,0.215,4.67,15.29,no_action,no_action
9,1953,0.13,17.5,0.115,4.2,5.13,no_action,no_action
6,2496,0.51,41.0,0.187,2.78,23.21,improve_quality,improve_quality
16,2461,0.59,35.1,0.073,4.61,2.64,no_action,no_action
3,2486,0.33,25.9,0.197,3.11,11.33,increase_automation,increase_automation
4,4402,0.44,13.0,0.028,3.7,17.7,no_action,no_action
19,3078,0.18,15.0,0.089,2.86,11.99,no_action,no_action
3,4343,0.39,33.5,0.245,4.28,3.21,increase_automation,increase_automation
19,3844,0.54,38.6,0.198,4.17,14.28,no_action,no_action
7,4632,0.72,30.9,0.124,3.03,16.4,no_action,no_action
9,2255,0.1,36.8,0.085,4.66,17.89,increase_automation,increase_automation
1,4920,0.5,35.0,0.218,3.5,9.96,no_action,no_action
8,1476,0.35,8.4,0.136,3.23,14.53,no_action,no_action
7,2966,0.82,20.2,0.19,2.88,11.82,improve_quality,improve_quality
18,502,0.71,8.6,0.189,3.17,17.13,improve_quality,improve_quality
8,838,0.6,12.1,0.004,2.56,15.01,no_action,no_action
1,255,0.34,39.4,0.032,3.96,13.62,no_action,no_action
11,725,0.87,22.3,0.165,4.61,6.99,no_action,no_action
18,4769,0.14,25.0,0.04,3.87,1.05,increase_automation,increase_automation
10,4323,0.19,9.7,0.064,3.05,5.18,no_action,no_action
3,2325,0.43,15.4,0.237,2.58,3.81,improve_quality,improve_quality
7,3487,0.21,11.9,0.14,3.04,11.78,no_action,no_action
16,564,0.91,10.9,0.188,3.54,15.69,no_action,no_action
16,4821,0.78,29.4,0.139,4.4,6.11,no_action,no_action
17,1846,0.32,13.0,0.138,2.97,23.54,no_action,no_action
2,1118,0.6,29.2,0.024,4.3,1.16,no_action,no_action
1,2997,0.93,4.5,0.086,4.67,19.54,no_action,no_action
16,1731,0.85,8.1,0.071,3.63,16.0,no_action,no_action
12,3545,0.61,13.8,0.098,4.55,9.97,no_action,no_action
5,2106,0.87,27.7,0.2,3.89,2.21,no_action,no_action
5,3286,0.94,31.1,0.093,4.09,16.06,no_action,no_action
9,4780,0.73,21.0,0.113,3.82,10.25,no_action,no_action
9,2275,0.16,21.2,0.099,3.66,23.47,increase_automation,increase_automation
3,913,0.44,33.2,0.023,3.09,14.01,no_action,no_action
19,1262,0.81,2.7,0.11,3.26,23.55,no_action,no_action
16,2176,0.3,16.7,0.049,3.22,6.29,no_action,no_action
16,1496,0.81,37.2,0.047,3.91,18.42,no_action,no_action
3,325,0.2,27.9,0.024,2.8,15.81,no_action,no_action
1,4832,0.14,16.5,0.089,4.79,18.75,no_action,no_action
11,3796,0.43,40.9,0.189,4.3,6.15,no_action,no_action
17,3483,0.13,35.2,0.069,3.5,16.96,increase_automation,increase_automation
8,1803,0.91,13.4,0.078,2.9,12.95,no_action,no_action
4,266,0.8,29.7,0.161,4.7,18.83,no_action,no_action
6,432,0.78,27.6,0.049,4.56,8.85,no_action,no_action
8,2356,0.64,19.3,0.224,4.3,22.36,no_action,no_action
3,1369,0.28,17.8,0.13,3.18,3.02,no_action,no_action
16,2358,0.54,16.8,0.112,3.51,20.37,no_action,no_action
3,4406,0.61,28.5,0.139,2.76,21.67,no_action,no_action
18,1693,0.55,21.0,0.042,2.97,20.61,no_action,no_action
14,4918,0.32,37.8,0.153,4.46,13.31,increase_automation,increase_automation
18,4207,0.54,30.8,0.091,4.29,11.52,no_action,no_action
2,2672,0.52,5.0,0.224,3.98,24.91,no_action,no_action
3,2860,0.95,29.5,0.042,4.74,6.5,no_action,no_action
16,2939,0.86,13.7,0.127,3.96,14.13,no_action,no_action
9,1961,0.49,27.5,0.15,3.67,17.1,no_action,no_action
4,3714,0.63,31.2,0.008,3.35,17.82,no_action,no_action
1,2175,0.74,11.9,0.091,4.85,5.9,no_action,no_action
4,2562,0.13,21.6,0.183,2.71,16.7,increase_automation,increase_automation
1,1076,0.86,10.2,0.205,4.83,20.64,no_action,no_action
14,4012,0.83,4.3,0.078,4.57,2.2,no_action,no_action
16,3648,0.49,18.3,0.2,2.82,22.88,improve_quality,improve_quality
8,1512,0.43,17.6,0.242,3.91,1.71,no_action,no_action
7,1660,0.33,44.8,0.214,4.67,9.54,no_action,no_action
3,2909,0.51,21.2,0.029,3.93,1.38,no_action,no_action
17,2524,0.14,16.3,0.185,4.77,2.85,no_action,no_action
1,1933,0.82,27.0,0.08,4.86,22.87,no_action,no_action
16,1805,0.13,5.8,0.247,3.56,9.52,no_action,no_action
12,2763,0.38,43.4,0.121,3.44,11.19,increase_automation,increase_automation
19,3621,0.89,29.3,0.031,4.84,6.17,no_action,no_action
14,3717,0.72,34.5,0.181,4.19,15.33,no_action,no_action
6,2597,0.34,9.3,0.081,2.79,15.28,no_action,no_action
6,3935,0.31,19.6,0.249,2.61,9.93,improve_quality,improve_quality
13,3070,0.1,20.2,0.245,3.91,8.99,increase_automation,increase_automation
19,1360,0.69,37.3,0.164,4.83,22.24,no_action,no_action
8,442,0.14,2.1,0.032,4.61,10.2,no_action,no_action
2,2790,0.55,14.9,0.172,4.19,12.84,no_action,no_action
1,1263,0.92,44.2,0.023,2.85,7.8,no_action,no_action
15,4524,0.19,22.4,0.007,3.14,19.88,increase_automation,increase_automation
1,2795,0.86,18.4,0.206,4.69,10.54,no_action,no_action
5,1119,0.94,7.2,0.052,2.96,13.33,no_action,no_action
16,205,0.15,43.9,0.095,3.2,7.08,no_action,no_action
19,667,0.85,2.9,0.243,2.82,24.7,improve_quality,improve_quality
4,4370,0.54,33.7,0.084,4.19,8.0,no_action,no_action
3,203,0.87,35.0,0.074,4.86,19.5,no_action,no_action
17,845,0.59,12.5,0.23,3.17,11.26,improve_quality,improve_quality
17,317,0.66,30.9,0.028,3.69,5.95,no_action,no_action
12,3128,0.56,6.0,0.19,4.09,20.19,no_action,no_action
14,2751,0.83,13.1,0.247,5.0,9.01,no_action,no_action
6,4489,0.72,35.9,0.225,2.76,21.76,improve_quality,improve_quality
3,1046,0.54,39.2,0.163,3.75,22.97,no_action,no_action
9,2962,0.84,28.2,0.079,3.46,21.64,no_action,no_action
5,1341,0.31,23.8,0.064,4.66,1.84,no_action,no_action
17,2010,0.23,8.9,0.205,3.69,19.9,no_action,no_action
14,923,0.24,4.7,0.22,2.78,10.87,improve_quality,improve_quality
3,424,0.38,7.1,0.131,4.09,21.97,no_action,no_action
1,4827,0.3,11.8,0.061,4.43,16.31,no_action,no_action
1,4408,0.89,16.7,0.028,2.51,21.01,no_action,no_action
3,4854,0.19,18.4,0.022,4.65,12.99,no_action,no_action
18,2248,0.69,16.9,0.18,2.97,13.84,improve_quality,improve_quality
10,4949,0.26,12.3,0.105,3.88,4.47,no_action,no_action
3,4615,0.85,23.9,0.226,3.54,19.82,no_action,no_action
8,1773,0.92,37.5,0.185,4.3,11.07,no_action,no_action
14,2028,0.5,14.0,0.048,3.43,13.0,no_action,no_action
18,2117,0.85,42.5,0.153,4.67,19.84,no_action,no_action
15,4434,0.1,39.6,0.109,4.33,15.37,increase_automation,increase_automation
2,2226,0.8,9.0,0.144,4.12,5.83,no_action,no_action
10,3944,0.29,35.8,0.185,4.49,15.17,increase_automation,increase_automation
2,1101,0.87,26.7,0.202,4.39,10.78,no_action,no_action
17,4985,0.1,26.4,0.211,2.59,12.27,increase_automation,increase_automation
8,2239,0.57,18.8,0.063,3.49,1.68,no_action,no_action
1,209,0.74,23.5,0.008,4.83,6.04,no_action,no_action
9,460,0.32,19.1,0.185,2.81,7.74,improve_quality,improve_quality
11,1873,0.26,25.2,0.027,4.34,18.11,no_action,no_action
16,2419,0.17,29.0,0.079,4.94,1.28,increase_automation,increase_automation
7,2260,0.38,31.0,0.001,2.63,10.81,increase_automation,increase_automation
10,3913,0.58,24.9,0.17,4.21,23.18,no_action,no_action
3,1819,0.2,33.0,0.042,3.67,3.69,no_action,no_action
18,520,0.42,8.1,0.164,3.95,13.39,no_action,no_action
13,1542,0.11,11.1,0.248,2.71,19.88,improve_quality,improve_quality
7,2576,0.8,37.2,0.018,2.61,23.62,no_action,no_action
4,3032,0.21,15.9,0.019,4.17,18.92,no_action,no_action
13,3024,0.34,3.0,0.085,4.56,18.29,no_action,no_action
1,2194,0.12,8.6,0.217,4.46,20.84,no_action,no_action
8,3158,0.47,11.6,0.054,3.86,11.71,no_action,no_action
14,2238,0.81,43.2,0.09,2.75,20.34,no_action,no_action
16,3690,0.43,26.6,0.017,4.22,1.19,no_action,no_action
14,3877,0.25,42.1,0.191,3.1,23.19,increase_automation,increase_automation
12,1318,0.74,26.7,0.102,4.78,11.64,no_action,no_action
19,1804,0.77,22.6,0.19,4.6,14.28,no_action,no_action
15,4227,0.25,15.5,0.226,4.27,7.12,no_action,no_action
2,435,0.76,28.1,0.058,4.87,18.82,no_action,no_action
2,2169,0.91,8.0,0.202,2.58,2.84,improve_quality,improve_quality
19,4629,0.24,40.6,0.015,4.34,21.94,increase_automation,increase_automation
17,2108,0.76,37.7,0.225,3.33,20.87,improve_quality,improve_quality
10,575,0.7,15.7,0.163,4.77,6.19,no_action,no_action
6,3730,0.5,43.0,0.219,3.17,20.42,improve_quality,improve_quality
15,2835,0.15,37.5,0.0,4.31,19.87,increase_automation,increase_automation
11,1770,0.16,30.7,0.042,4.69,16.17,no_action,no_action
5,2760,0.82,7.2,0.097,2.6,9.96,no_action,no_action
1,3591,0.94,22.6,0.095,3.49,7.52,no_action,no_action
8,3165,0.67,23.8,0.057,4.41,6.56,no_action,no_action
12,3843,0.48,12.0,0.095,3.64,8.65,no_action,no_action
12,4050,0.65,5.4,0.032,3.17,22.69,no_action,no_action
5,1072,0.61,35.4,0.103,3.05,2.86,no_action,no_action
7,1452,0.43,7.2,0.201,2.83,20.89,improve_quality,improve_quality
4,1514,0.16,27.6,0.12,4.64,9.37,no_action,no_action
6,3098,0.8,42.3,0.005,3.94,13.52,no_action,no_action
13,277,0.42,39.7,0.105,2.69,20.07,no_action,no_action
15,2821,0.8,13.9,0.007,3.46,22.23,no_action,no_action
3,4427,0.31,38.6,0.242,3.42,9.27,increase_automation,increase_automation
8,800,0.1,2.0,0.032,2.95,12.08,no_action,no_action
16,1265,0.24,2.8,0.177,3.59,10.95,no_action,no_action
13,2336,0.5,27.9,0.243,3.33,1.32,improve_quality,improve_quality
18,2649,0.9,17.7,0.207,3.35,8.1,improve_quality,improve_quality
10,2543,0.19,18.6,0.175,4.35,12.02,no_action,no_action
19,2063,0.83,26.3,0.21,3.06,10.87,improve_quality,improve_quality
17,1518,0.55,10.2,0.245,4.1,18.33,no_action,no_action
19,4911,0.8,11.1,0.155,3.93,10.24,no_action,no_action
5,3797,0.35,22.8,0.14,3.92,12.75,increase_automation,no_action
9,3962,0.81,34.4,0.157,4.16,11.31,no_action,no_action
12,4870,0.76,28.6,0.133,3.87,18.78,no_action,no_action
1,2390,0.3,14.8,0.159,4.7,21.71,no_action,no_action
1,1192,0.21,20.5,0.112,4.19,13.77,no_action,no_action
15,2912,0.84,9.3,0.055,3.87,19.95,no_action,no_action
2,2392,0.92,5.2,0.03,4.57,8.12,no_action,no_action
16,1448,0.13,35.7,0.017,4.02,13.99,no_action,no_action
8,3254,0.72,13.4,0.066,3.23,9.29,no_action,no_action
13,4798,0.87,9.6,0.012,3.02,10.94,no_action,no_action
1,4233,0.83,31.7,0.142,2.88,18.58,no_action,no_action
16,2197,0.92,28.6,0.071,4.75,22.16,no_action,no_action
7,3887,0.75,29.2,0.206,4.28,3.92,no_action,no_action
5,2351,0.48,11.8,0.019,4.84,16.23,no_action,no_action
3,4218,0.37,12.0,0.057,4.01,14.97,no_action,no_action
12,3310,0.37,11.5,0.183,3.68,3.84,no_action,no_action
16,2170,0.72,9.5,0.15,2.65,6.09,no_action,no_action
19,397,0.73,30.2,0.016,4.18,8.46,no_action,no_action
5,2826,0.27,38.5,0.219,3.96,5.01,increase_automation,increase_automation
14,1402,0.84,33.1,0.219,4.98,6.85,no_action,no_action
5,2235,0.71,36.1,0.083,3.1,7.42,no_action,no_action
15,677,0.58,19.4,0.085,3.83,9.06,no_action,no_action
17,1454,0.5,30.1,0.247,4.13,18.99,no_action,no_action
14,1122,0.56,17.2,0.157,4.11,14.73,no_action,no_action
5,619,0.24,24.6,0.133,3.9,24.67,no_action,no_action
12,2404,0.27,22.7,0.21,4.44,10.95,increase_automation,increase_automation
16,2797,0.18,9.6,0.071,3.01,19.09,no_action,no_action
16,1320,0.23,18.6,0.107,4.31,21.92,no_action,no_action
7,3268,0.49,43.4,0.067,4.05,17.3,no_action,no_action
4,1150,0.55,12.7,0.197,4.74,10.88,no_action,no_action
1,2536,0.12,7.8,0.143,4.62,19.09,no_action,no_action
5,2443,0.78,20.0,0.165,3.29,5.89,improve_quality,improve_quality
10,2845,0.35,36.0,0.063,3.19,8.86,increase_automation,increase_automation
5,2057,0.88,27.0,0.055,4.95,14.12,no_action,no_action
4,4812,0.92,31.3,0.122,3.82,14.81,no_action,no_action
2,2065,0.26,10.2,0.184,4.77,1.53,no_action,no_action
10,3112,0.49,28.6,0.131,2.91,23.68,no_action,no_action
19,3053,0.1,15.9,0.008,4.11,17.72,no_action,no_action
1,3428,0.61,37.9,0.217,4.52,12.9,no_action,no_action
5,3919,0.62,29.1,0.016,4.87,23.4,no_action,no_action
13,3428,0.31,10.6,0.239,3.34,11.54,improve_quality,improve_quality
4,2571,0.57,4.8,0.006,4.31,24.53,no_action,no_action
16,3091,0.29,3.8,0.174,3.85,13.29,no_action,no_action
16,3956,0.24,18.0,0.021,2.65,3.74,no_action,no_action
2,4425,0.65,13.4,0.228,4.22,19.36,no_action,no_action
17,294,0.38,29.8,0.116,4.23,17.29,no_action,no_action
12,2874,0.6,23.5,0.034,4.83,19.55,no_action,no_action
18,2155,0.47,13.4,0.085,3.74,23.83,no_action,no_action
3,993,0.94,8.4,0.041,3.08,19.64,no_action,no_action
1,2034,0.23,7.5,0.043,2.61,15.67,no_action,no_action
1,2316,0.49,39.2,0.237,3.54,21.58,no_action,no_action
19,4306,0.68,12.5,0.111,3.25,17.16,no_action,no_action
11,3525,0.44,30.0,0.197,4.4,10.79,no_action,no_action
5,3119,0.93,36.9,0.16,3.39,22.25,improve_quality,no_action
12,2797,0.71,28.4,0.169,4.87,6.33,no_action,no_action
3,3405,0.66,39.0,0.033,4.91,18.15,no_action,no_action
1,1014,0.74,18.9,0.059,4.05,22.16,no_action,no_action
1,545,0.91,43.1,0.197,4.82,18.55,no_action,no_action
8,2549,0.87,7.7,0.243,4.4,17.73,no_action,no_action
10,562,0.72,6.4,0.066,3.87,19.06,no_action,no_action
11,2643,0.74,30.3,0.068,2.95,12.16,no_action,no_action
12,2465,0.22,42.5,0.118,3.65,21.98,increase_automation,increase_automation
13,2388,0.19,36.8,0.246,3.9,5.88,increase_automation,increase_automation
12,3205,0.59,5.3,0.067,4.66,4.06,no_action,no_action
14,3481,0.12,14.0,0.102,3.7,7.85,no_action,no_action
2,1184,0.51,42.0,0.223,4.74,13.76,no_action,no_action
19,1839,0.28,12.9,0.001,4.19,13.25,no_action,no_action
18,1027,0.39,35.6,0.01,2.84,20.69,no_action,no_action
3,2930,0.76,37.5,0.151,4.99,10.71,no_action,no_action
